"state","All","White","Black","Hispanic","Asian/Native Hawaiian or Pacific Islander","American Indian or Alaska Native","Other"
"United States","0.333","0.325","0.430","0.367","0.148","0.388","0.337","1"
"Alabama","0.383","0.351","0.502","0.334","NSD","0.374","0.308"
"Alaska","0.321","0.313","0.334","0.271","0.278","0.362","0.366"
"Arizona","0.332","0.287","0.435","0.415","0.163","0.479","0.396"
"Arkansas","0.374","0.365","0.438","0.303","0.532","0.397","0.407"
"California","0.281","0.258","0.386","0.360","0.132","0.424","0.266"
"Colorado","0.250","0.241","0.290","0.303","0.143","0.392","0.158"
"Connecticut","0.306","0.288","0.384","0.371","0.149","0.408","0.337"
"Delaware","0.379","0.353","0.492","0.354","0.203","NSD","0.401"
"District of Columbia","0.243","0.143","0.392","0.264","0.135","NSD","NSD"
"Florida","0.316","0.298","0.376","0.352","NSD","0.409","0.291"
"Georgia","0.370","0.348","0.457","0.319","0.184","NSD","0.383"
"Hawaii","0.259","0.182","0.331","0.320","0.242","NSD","0.387"
"Idaho","0.332","0.328","NSD","0.362","NSD","0.459","0.327"
"Illinois","0.333","0.307","0.450","0.399","0.124","NSD","0.389"
"Indiana","0.377","0.380","0.424","0.407","NSD","0.240","0.293"
"Iowa","0.374","0.379","0.363","0.386","0.132","0.529","0.431"
"Kansas","0.357","0.356","0.372","0.392","0.133","0.376","0.395"
"Kentucky","0.377","0.374","0.416","0.437","NSD","NSD","0.421"
"Louisiana","0.401","0.374","0.471","0.390","0.229","0.450","0.388"
"Maine","0.331","0.324","0.412","0.387","NSD","0.465","0.474"
"Maryland","0.332","0.307","0.420","0.338","0.127","0.234","0.388"
"Massachusetts","0.272","0.275","0.379","0.306","0.115","NSD","0.307"
"Michigan","0.345","0.344","0.427","0.375","0.102","0.269","0.340"
"Minnesota","0.336","0.336","0.365","0.359","0.206","0.448","0.460"
"Mississippi","0.395","0.352","0.476","0.454","NSD","NSD","0.377"
"Missouri","0.364","0.362","0.420","0.372","NSD","0.357","0.446"
"Montana","0.305","0.295","NSD","0.364","NSD","0.386","0.367"
"Nebraska","0.353","0.360","0.339","0.374","NSD","0.420","0.245"
"Nevada","0.335","0.318","0.368","0.369","0.302","0.318","0.340"
"New Hampshire","0.302","0.307","0.356","0.397","NSD","NSD","NSD"
"New Jersey","0.291","0.283","0.383","0.340","0.133","NSD","0.384"
"New Mexico","0.324","0.259","0.356","0.362","NSD","0.425","0.391"
"New York","0.301","0.295","0.372","0.351","0.158","0.364","0.292"
"North Carolina","0.341","0.310","0.457","0.345","NSD","0.372","0.399"
"North Dakota","0.354","0.358","0.256","0.334","NSD","0.439","0.399"
"Ohio","0.381","0.378","0.460","0.366","0.129","0.315","0.404"
"Oklahoma","0.400","0.383","0.522","0.442","NSD","0.478","0.403"
"Oregon","0.309","0.304","0.299","0.376","0.165","0.500","0.314"
"Pennsylvania","0.333","0.342","0.385","0.361","0.147","NSD","0.207"
"Rhode Island","0.308","0.300","0.395","0.327","0.163","0.458","0.459"
"South Carolina","0.350","0.320","0.445","0.352","NSD","0.286","0.382"
"South Dakota","0.368","0.359","0.308","0.339","NSD","0.391","0.711"
"Tennessee","0.389","0.380","0.495","0.360","NSD","0.284","0.294"
"Texas","0.355","0.325","0.459","0.396","0.140","0.446","0.294"
"Utah","0.311","0.303","0.324","0.360","0.188","0.517","0.394"
"Vermont","0.268","0.270","0.270","0.313","NSD","0.334","0.257"
"Virginia","0.352","0.339","0.502","0.342","0.124","NSD","0.315"
"Washington","0.317","0.325","0.333","0.395","0.151","0.430","0.373"
"West Virginia","0.410","0.408","0.451","0.436","NSD","0.547","0.346"
"Wisconsin","0.377","0.370","0.468","0.395","0.226","0.454","0.482"
"Wyoming","0.342","0.328","NSD","0.463","NSD","0.405","NSD"
"Guam","0.327","0.194","NSD","0.410","0.323","NSD","0.445"
"Puerto Rico","0.341","NSD","NSD","0.342","NSD","NSD","NSD"